Número da contratação,Código Classe/Grupo,Valor Total,Status da contratação,Situação da Execução,Título da contratação,Categoria da contratação,UASG Atual,Data estimada para o início do processo de contratação,Data estimada para a conclusão do processo de contratação,Prazo estimado de duração do processo de contratação (dias),Área requisitante,Nº DFD,Prioridade,Nº do Item no DFD,Data da conclusão da Contratação no DFD,Classificação da Contratação,Nome Classe/Grupo,Código PDM material,Nome do PDM material,Código material/serviço,Descrição material/serviço,Unidade Fornecimento,Valor Unitário,Quantidade,IdxValor,ID,ID Futura Contratação,Valor PCA
28/2025,7010,350000,Aprovada,,Aquisição de mini pcs,CONTRATACOES_TIC,102122,45708,45828,120,STI,41/2024,Médio,1,45828,Material,COMPUTADORES,,,,,,350000,1,1,76,102122-28/2025,350000
29/2025,7105,50000,Aprovada,,Aquisição de móveis p´lanejados,BENS,102122,45637,45777,140,Móveis planejados,7/2024,Médio,2,45777,Material,MOBILIÁRIO DOMÉSTICO,,,,,,50000,1,1,73,102122-29/2025,50000
29/2025,7110,50000,Aprovada,,Aquisição de móveis p´lanejados,BENS,102122,45637,45777,140,Móveis planejados,7/2024,Médio,1,45777,Material,MOBILIÁRIO PARA ESCRITÓRIO,,,,,,50000,1,1,73,102122-29/2025,50000
29/2025,7125,130000,Aprovada,,Aquisição de móveis p´lanejados,BENS,102122,45637,45777,140,Móveis planejados,7/2024,Médio,3,45777,Material,ARMÁRIOS E ESTANTES,,,,,,130000,1,1,73,102122-29/2025,130000
3/2025,4110,4500,Aprovada,,Aquisição de equipamentos de refrigeração,BENS,102122,45667,45757,90,CIP,60/2024,Médio,2,45717,Material,EQUIPAMENTO PARA REFRIGERAÇÃO,,,,,,4500,1,1,9,102122-3/2025,4500
3/2025,4110,10000,Aprovada,,Aquisição de equipamentos de refrigeração,BENS,102122,45667,45757,90,BAB - CIENCIAS BIOLÓGICAS,59/2024,Médio,1,45853,Material,EQUIPAMENTO PARA REFRIGERAÇÃO,,,,,,10000,1,1,9,102122-3/2025,10000
30/2025,7110,242000,Aprovada,,Mobiliário corporativo,BENS,102122,45537,45687,150,Mobiliário corporativo,9/2024,Médio,1,45716,Material,MOBILIÁRIO PARA ESCRITÓRIO,,,,,,242000,1,1,72,102122-30/2025,242000
31/2025,7195,30000,Aprovada,,Poltrona anfiteatro Odontoped,BENS,102122,45901,46021,120,BAO - ODONTOP. ORTO. S COLETIVA,52/2024,Médio,1,45868,Material,MOBILIÁRIOS DIVERSOS E ACESSÓRIOS,,,,,,30000,1,1,71,102122-31/2025,30000
32/2025,7230,20000,Aprovada,,Aquisição persianas,BENS,102122,45610,45701,91,ATF - FINANCEIRO,38/2024,Baixo,1,45777,Material,"TAPEÇARIAS, CORTINAS E PERSIANAS",,,,,,20000,1,1,70,102122-32/2025,20000
33/2025,7610,15000,Aprovada,,Aquisição de livros,BENS,102122,45666,45749,83,BIBLIOTECA,37/2024,Médio,1,45960,Material,LIVROS E FOLHETOS,,,,,,15000,1,1,88,102122-33/2025,15000
